GEO ID,County,State,Year,County PrEP Users,HIV New Incidences,Census Population Estimates,Median Household Income,Unemployment Rate,PnR,,,,,,,,,,,,,,,,
34001,Atlantic County,NJ,2012,14,56,274657,50881,12.8,0.25,,,,,,,,,,,,,,,,
34003,Bergen County,NJ,2012,34,63,916299,82001,7.7,0.53968253968254,,,,,,,,,,,,,,,,
34005,Burlington County,NJ,2012,18,45,450667,74285,8.7,0.4,,,,,,,,,,,,,,,,
34007,Camden County,NJ,2012,30,67,511636,58572,10.8,0.447761194029851,,,,,,,,,,,,,,,,
34009,Cape May County,NJ,2012,5,10,96267,55175,15.5,0.5,,,,,,,,,,,,,,,,
34011,Cumberland County,NJ,2012,6,24,156862,46491,13.2,0.25,,,,,,,,,,,,,,,,
34013,Essex County,NJ,2012,42,342,785092,51019,10.8,0.12280701754386,,,,,,,,,,,,,,,,
34015,Gloucester County,NJ,2012,11,13,289839,72248,10.2,0.846153846153846,,,,,,,,,,,,,,,,
34017,Hudson County,NJ,2012,27,197,652373,56087,8.9,0.137055837563452,,,,,,,,,,,,,,,,
34019,Hunterdon County,NJ,2012,5,10,126658,103301,6.9,0.5,,,,,,,,,,,,,,,,
34021,Mercer County,NJ,2012,25,51,368628,67662,8.3,0.490196078431373,,,,,,,,,,,,,,,,
34023,Middlesex County,NJ,2012,33,76,819389,77044,8.7,0.43421052631579,,,,,,,,,,,,,,,,
34025,Monmouth County,NJ,2012,24,64,627682,81190,8.8,0.375,,,,,,,,,,,,,,,,
34027,Morris County,NJ,2012,16,30,495623,95236,7.1,0.533333333333333,,,,,,,,,,,,,,,,
34029,Ocean County,NJ,2012,22,30,580013,59022,10.7,0.733333333333333,,,,,,,,,,,,,,,,
34031,Passaic County,NJ,2012,23,83,503531,58073,11.1,0.27710843373494,,,,,,,,,,,,,,,,
34033,Salem County,NJ,2012,3,,65427,57939,11.9,,,,,,,,,,,,,,,,,
34035,Somerset County,NJ,2012,12,28,327462,95574,7.5,0.428571428571429,,,,,,,,,,,,,,,,
34037,Sussex County,NJ,2012,5,5,147003,85036,9.1,1,,,,,,,,,,,,,,,,
34039,Union County,NJ,2012,20,72,542977,64698,9.5,0.277777777777778,,,,,,,,,,,,,,,,
34041,Warren County,NJ,2012,3,,107586,70560,8.8,,,,,,,,,,,,,,,,,
34001,Atlantic County,NJ,2013,12,42,274360,51668,11.9,0.285714285714286,,,,,,,,,,,,,,,,
34003,Bergen County,NJ,2013,51,67,920021,81615,6.8,0.761194029850746,,,,,,,,,,,,,,,,
34005,Burlington County,NJ,2013,23,29,448992,76868,7.9,0.793103448275862,,,,,,,,,,,,,,,,
34007,Camden County,NJ,2013,34,71,509983,57641,9.6,0.47887323943662,,,,,,,,,,,,,,,,
34009,Cape May County,NJ,2013,3,,95540,56520,14.5,,,,,,,,,,,,,,,,,
34011,Cumberland County,NJ,2013,4,16,155912,45850,12,0.25,,,,,,,,,,,,,,,,
34013,Essex County,NJ,2013,50,294,786685,53358,9.9,0.170068027210884,,,,,,,,,,,,,,,,
